Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1,21.25,0,0.0,92,2716.519048,0.006737589,0.037885297000000005,23.7389113,0.0,Nov,2,2,3,2,Returning_Visitor,True,False
2,28.2,1,0.0,114,3161.074762,0.017699115,0.042576205,0.0,0.0,Aug,2,2,2,1,Returning_Visitor,False,False
3,143.0,0,0.0,17,331.8375,0.033333333,0.051234568,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,True,False
1,25.5,0,0.0,43,914.2294372000001,0.013636364,0.025762987,,,Nov,1,1,1,1,Returning_Visitor,False,False
5,46.52,0,0.0,133,2248.9142859999997,0.012077922,0.029349567000000003,6.3737706229999995,0.0,Jul,1,1,1,4,Returning_Visitor,False,True
0,0.0,0,0.0,9,388.0,0.066666667,0.088888889,0.0,,Mar,3,2,2,1,Returning_Visitor,False,False
0,0.0,0,0.0,3,71.0,0.1,0.1,0.0,0.0,May,3,2,6,13,Returning_Visitor,False,False
3,109.0,0,0.0,31,3116.5,0.0,0.005208333,,,Dec,3,2,1,10,Returning_Visitor,False,True
5,99.0,0,0.0,35,573.0,0.0,,9.597405405,,May,2,2,1,4,Returning_Visitor,False,False
4,64.5,0,0.0,28,852.3333332999998,0.013793103000000001,0.02454844,0.0,0.0,May,2,2,1,7,Returning_Visitor,True,False
0,0.0,0,,3,80.0,0.166666667,0.177777778,0.0,0.0,Nov,1,1,6,1,Returning_Visitor,False,False
1,5.0,2,66.5,64,1716.5833329999998,0.012121212,0.019444443999999998,0.0,0.0,Nov,4,2,1,2,Returning_Visitor,True,False
0,0.0,0,0.0,22,2473.25,0.009090909,0.013383838,0.0,0.0,May,3,2,3,2,Returning_Visitor,False,False
0,0.0,2,75.0,14,442.33333330000005,0.0,0.034375,0.0,0.8,Feb,1,1,3,3,Returning_Visitor,False,False
